MeltWater_calcfromF,MeltWater_calcfromCl,sample
5.668984195119415,5.974773377681874,Ap1
4.703776312311013,3.940622196561926,Ap1
3.8872302203981546,2.80894917082703,Ap1
4.295124909411396,3.328908624387058,Ap1
4.104528277066838,3.076154556667104,Ap1
3.7457218199469566,2.6456348243985097,Ap1
3.6483792365994487,2.5377588282261994,Ap1
4.916159879059159,4.304467569957942,Ap1
4.83988876282963,4.169651478402871,Ap1
3.9230179348973166,2.8515384981352128,Ap1
3.9214130630832025,2.8496170890600476,Ap1
4.223570892779898,3.231855055116318,Ap1
3.9791360827888536,2.9194185536902846,Ap1
3.6822154464751295,2.5748599192571846,Ap1
4.469205355854168,3.5768323205274184,Ap1
6.228942983166325,7.907167085750351,Ap1
4.694094170550904,3.92486191756279,Ap1
4.417434380188701,3.5012720949880736,Ap1
3.279990373849289,2.158912182886499,Ap1
4.5577085603384,3.7098206467509636,Ap1
4.875636827698929,4.232232176893215,Ap1
4.693854081675276,3.9244719708443445,Ap1
4.416197589964709,3.4994864636812615,Ap1
3.763258488545734,2.6654467681905913,Ap1
3.581012711945035,2.465111206896557,Ap1
4.849859783519475,4.187001037960276,Ap1
3.6110842372661995,2.497342281399404,Ap1
5.3170397482503216,5.1047936356921655,Ap1
3.9033671451261207,2.8280866196462076,Ap1
4.754735473385621,4.024708550338265,Ap1
4.583439937739317,3.7494268612664903,Ap1
4.86788078204827,4.218564638631474,Ap1
4.347144248280151,3.401190581609691,Ap1
3.7122284853883603,2.60812027303831,Ap1
4.764399526045742,4.0408745058281985,Ap1
4.43722369311647,3.5299658236642557,Ap1
5.125139142885538,4.700746793566515,Ap1
4.228310302387345,3.2382007509252215,Ap1
4.888605321303102,4.255197642538891,Ap1
4.900585295285674,4.276539020369718,Ap1
4.052727940877605,3.010534664868656,Ap1
4.370862825092197,3.4346465219200617,Ap1
5.009915410221797,4.477134445458724,Ap1
3.839755548602078,2.753268500087257,Ap1
3.8240268015401915,2.735022388940255,Ap1
6.201971273396791,7.790929575038108,Ap1
4.134963464418283,3.115300689630263,Ap1
3.7245329678371957,2.621852931111559,Ap1
3.5716564701300966,2.4551472075123475,Ap1
4.625567654848673,3.815222396820197,Ap1
5.09465207104498,4.64029038911491,Ap1
4.978623757570779,4.418619414097932,Ap1
4.702860021559232,3.939127773889237,Ap1
4.175443027397325,3.1680624375440796,Ap1
3.8889594102660823,2.810994710456717,Ap1
5.084621060775858,4.6206064439492565,Ap1
3.988146794047507,2.930445206221592,Ap1
5.692604794047349,6.040505896238924,Ap1
3.3234587658081605,2.201375295737402,Ap1
3.9896082763524876,2.9322370296486677,Ap1
4.541373412288113,3.6849012648717085,Ap1
4.92746793290431,4.324876864686638,Ap1
4.637116913198626,3.8334707429843995,Ap1
3.382220379760581,2.259685148681035,Ap1
4.3290610010694275,3.375894889181842,Ap1
6.399660709165316,8.72458369228675,Ap1
3.925202599352315,2.854155808042069,Ap1
4.44711146819008,3.5443898560546203,Ap1
3.7448569290111893,2.6446607585284774,Ap1
5.294935423205895,5.056047508666362,Ap1
3.878533860396228,2.7986805898316662,Ap1
5.687291931012866,6.025628202449665,Ap1
4.556971317766915,3.7086922545865244,Ap1
4.577571193226613,3.7403552396458672,Ap1
3.814701952973966,2.724251746936015,Ap1
3.50532700292741,2.3853651395323516,Ap1
5.249743722865233,4.958248112391764,Ap1
4.186797192213445,3.183007013393497,Ap1
3.8176943381423953,2.7277043275597666,Ap1
4.750357882850718,4.017409072525773,Ap1
3.0518801765631496,1.9449166207813025,Ap1
4.651799097865028,3.8568023831017455,Ap1
4.781796082524071,4.070155476440085,Ap1
4.2373701914584645,3.250363449971912,Ap1
3.9574257701584257,2.8929968378708546,Ap1
4.133145590676895,3.1129500122060736,Ap1
4.636654056578326,3.832737641882547,Ap1
4.232535083554244,3.2438671500643834,Ap1
5.027302921180705,4.510045295011065,Ap1
3.546644125354358,2.4286578238832592,Ap1
5.314034871588053,5.098131171550483,Ap1
4.61100481949399,3.7923425439902174,Ap1
