MeltWater_F,MeltWater_Cl,sample
1.7687832429483088,1.5701651807086954,Ap1
2.325110701022322,2.1482256788492147,Ap1
3.014092024890425,2.9142858236708102,Ap1
1.1466734068790538,0.9683726274042801,Ap1
2.4995241566856343,2.3369538404407355,Ap1
3.2100550917252715,3.142171556948107,Ap1
2.383432414378002,2.210939524070352,Ap1
1.2171995582286799,1.0341331457708784,Ap1
1.3325183466643151,1.143043395354075,Ap1
2.346993382820973,2.171709760920711,Ap1
3.6201937992795092,3.633426438635702,Ap1
3.1918778629439046,3.1208474122124676,Ap1
5.671423595205175,6.388733011436096,Ap1
2.3009449468082455,2.122356492895452,Ap1
4.102586158221659,4.236131019352516,Ap1
1.3730765238003726,1.1817511817978845,Ap1
1.0881265435074439,0.9142765325589188,Ap1
4.26927690541115,4.4507147270887835,Ap1
2.3963247041658597,2.224856284264223,Ap1
1.8736294908276199,1.6762875178336374,Ap1
4.069235293627509,4.193589623597103,Ap1
3.1835867784423995,3.111133559975166,Ap1
2.509353053188664,2.3476947885112778,Ap1
3.2347534829774425,3.1712067282912706,Ap1
1.9480814181661543,1.7524476248341119,Ap1
5.271085313767322,5.810514551481428,Ap1
2.087328591762078,1.8966635887345578,Ap1
3.88610198441061,3.9623065578813574,Ap1
2.7090845307093003,2.5683852956292617,Ap1
1.3586630684780057,1.1679714241711145,Ap1
2.8357681840058224,2.71075218701809,Ap1
1.3542931982212743,1.1637988765193,Ap1
3.1147992161351126,3.0308467638568626,Ap1
0.872467316085043,0.718968246523779,Ap1
3.8334487752054565,3.8965328667257757,Ap1
1.7134502031028453,1.5146945940288117,Ap1
2.3912101228853944,2.219332959905153,Ap1
2.564645053049937,2.4083264195843497,Ap1
3.733659227913242,3.7727602331031584,Ap1
2.7886893789832037,2.6576289506684625,Ap1
2.3227921057603256,2.1457406850278837,Ap1
1.9800276193607944,1.7853299124571822,Ap1
4.1063063668577735,4.240884489359777,Ap1
2.027562949784416,1.8344831056738224,Ap1
5.212523509643244,5.727639329079733,Ap1
1.8833598671181866,1.686203417399781,Ap1
3.9117947383015688,3.994518666170894,Ap1
1.8681529180082497,1.6707115252947595,Ap1
6.699189434685171,7.971114668630057,Ap1
2.157165649252198,1.9698578245421463,Ap1
4.326714209705658,4.525413286204066,Ap1
3.967166293144037,4.064201758403085,Ap1
0.9410329753971973,0.7803792515690499,Ap1
2.7258059487231536,2.5870707106615676,Ap1
1.8113702749679563,1.613110666065017,Ap1
3.290205007899848,3.236650566968882,Ap1
1.5004564718224938,1.3046672825456702,Ap1
2.7498618376751742,2.614008685918751,Ap1
3.3686390720628623,3.3298224982516658,Ap1
2.1284335842281807,1.9396748390101324,Ap1
1.9995749414207458,1.8055099859756225,Ap1
2.9405214829828354,2.8298709665870914,Ap1
1.4147672917925962,1.2217567128816191,Ap1
0.7019065832126753,0.5690583791001244,Ap1
2.300165386176197,2.121523118903023,Ap1
1.5617240810336732,1.3645090016877934,Ap1
2.249528838651767,2.067543571990507,Ap1
1.524545069789808,1.3281397198948968,Ap1
4.062341313892323,4.184812108460551,Ap1
2.034475516465635,1.8416533108437327,Ap1
1.2609649125937614,1.0752653653402426,Ap1
1.6802178987136942,1.4815586563897218,Ap1
4.585253046537431,4.866499490206932,Ap1
1.2279163054426265,1.0441822674717602,Ap1
2.3775283007263908,2.204572717662687,Ap1
2.0623081019343936,1.870580620230628,Ap1
1.2549627003821249,1.0696096697799236,Ap1
2.3731618943056128,2.1998667408565233,Ap1
1.8295681477838794,1.6315284887151067,Ap1
1.767512606768947,1.5688872197926405,Ap1
1.6937274258957906,1.4950127688366934,Ap1
2.049043180913386,1.8567824976241543,Ap1
1.6707246401040983,1.472117666049359,Ap1
1.0112997511219044,0.8439794645030795,Ap1
1.3438860151568823,1.1538713849662026,Ap1
1.7172986648314625,1.5185405874447229,Ap1
1.4740220177619512,1.2789921033637839,Ap1
3.3739159994642227,3.3361163890340184,Ap1
2.1218306717466353,1.9327522558050196,Ap1
2.7378038742691704,2.6004977330111863,Ap1
1.6622852014555445,1.463733939731326,Ap1
3.6207939961873428,3.6341595539660667,Ap1
1.7675690663302743,1.5689440006710136,Ap1
5.935245187427015,6.781155363732815,Ap1
0.8443219532022236,0.6939479042962268,Ap1
1.6562834643203788,1.4577771219719378,Ap1
2.260544544112192,2.079260954795633,Ap1
1.4745402614279983,1.2794946241089322,Ap1
1.826546251821149,1.6284673042289182,Ap1
1.6753707368867121,1.4767368069152105,Ap1
1.9593143508356181,1.7639958278898138,Ap1
3.8342104074007803,3.8974819909397365,Ap1
1.869618644334933,1.672203506898912,Ap1
1.5929857722205671,1.395222073053531,Ap1
7.357291489877839,9.064864250533962,Ap1
2.5354261066384463,2.3762415671929906,Ap1
3.099105764569631,3.0126060645234016,Ap1
3.4750637406002483,3.457377087874785,Ap1
5.675090244202371,6.394124237620252,Ap1
2.0325154934294534,1.8396196594459866,Ap1
2.097598693896548,1.907391253395271,Ap1
1.5397967002050383,1.3430384720634077,Ap1
3.0993138458707565,3.012847734804961,Ap1
3.5009384359332874,3.488586263214377,Ap1
4.576958066023319,4.8554321556920295,Ap1
5.9854833680622885,6.856931203348964,Ap1
